OBJECTID,VACCINATION_DATE,Ethnicity,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
247,1/31/2021 15:00:00,Not Hispanic or Latino,2647,416239,855,78324
248,2/1/2021 15:00:00,Unknown Ethnicity,1073,47375,585,12803
249,2/1/2021 15:00:00,Hispanic or Latino,131,17892,141,3486
250,2/1/2021 15:00:00,Not Hispanic or Latino,5074,421313,3258,81582
251,2/2/2021 15:00:00,Hispanic or Latino,382,18274,621,4107
252,2/2/2021 15:00:00,Unknown Ethnicity,1321,48696,1516,14319
253,2/2/2021 15:00:00,Not Hispanic or Latino,9946,431259,10852,92434
254,2/3/2021 15:00:00,Not Hispanic or Latino,15064,446323,15626,108060
255,2/3/2021 15:00:00,Hispanic or Latino,595,18869,772,4879
256,2/3/2021 15:00:00,Unknown Ethnicity,1734,50430,1206,15525
257,2/4/2021 15:00:00,Hispanic or Latino,728,19597,749,5628
258,2/4/2021 15:00:00,Unknown Ethnicity,2106,52536,1005,16530
259,2/4/2021 15:00:00,Not Hispanic or Latino,18572,464895,13264,121324
260,2/5/2021 15:00:00,Not Hispanic or Latino,17405,482300,14773,136097
261,2/5/2021 15:00:00,Unknown Ethnicity,1629,54165,949,17479
262,2/5/2021 15:00:00,Hispanic or Latino,746,20343,935,6563
263,2/6/2021 15:00:00,Not Hispanic or Latino,9640,491940,5317,141414
264,2/6/2021 15:00:00,Unknown Ethnicity,965,55130,489,17968
265,2/6/2021 15:00:00,Hispanic or Latino,377,20720,216,6779
266,2/7/2021 15:00:00,Hispanic or Latino,138,20858,49,6828
267,2/7/2021 15:00:00,Unknown Ethnicity,1180,56310,251,18219
268,2/7/2021 15:00:00,Not Hispanic or Latino,4411,496351,1239,142653
269,2/8/2021 15:00:00,Unknown Ethnicity,1699,58009,540,18759
270,2/8/2021 15:00:00,Hispanic or Latino,500,21358,648,7476
271,2/8/2021 15:00:00,Not Hispanic or Latino,10300,506651,11119,153772
272,2/9/2021 15:00:00,Hispanic or Latino,542,21900,546,8022
273,2/9/2021 15:00:00,Unknown Ethnicity,1806,59815,735,19494
274,2/9/2021 15:00:00,Not Hispanic or Latino,13568,520219,11888,165660
275,2/10/2021 15:00:00,Hispanic or Latino,651,22551,776,8798
276,2/10/2021 15:00:00,Unknown Ethnicity,2042,61857,878,20372
277,2/10/2021 15:00:00,Not Hispanic or Latino,16108,536327,18910,184570
278,2/11/2021 15:00:00,Hispanic or Latino,892,23443,791,9589
279,2/11/2021 15:00:00,Unknown Ethnicity,2175,64032,774,21146
280,2/11/2021 15:00:00,Not Hispanic or Latino,19496,555823,15040,199610
281,2/12/2021 15:00:00,Unknown Ethnicity,1675,65707,1032,22178
282,2/12/2021 15:00:00,Hispanic or Latino,773,24216,922,10511
283,2/12/2021 15:00:00,Not Hispanic or Latino,17213,573036,16994,216604
284,2/13/2021 15:00:00,Not Hispanic or Latino,9551,582587,5327,221931
285,2/13/2021 15:00:00,Hispanic or Latino,340,24556,227,10738
286,2/13/2021 15:00:00,Unknown Ethnicity,954,66661,363,22541
287,2/14/2021 15:00:00,Not Hispanic or Latino,5729,588316,1507,223438
288,2/14/2021 15:00:00,Hispanic or Latino,237,24793,40,10778
289,2/14/2021 15:00:00,Unknown Ethnicity,910,67571,349,22890
290,2/15/2021 15:00:00,Not Hispanic or Latino,10228,598544,10483,233921
291,2/15/2021 15:00:00,Hispanic or Latino,306,25099,371,11149
292,2/15/2021 15:00:00,Unknown Ethnicity,1099,68670,1138,24028
293,2/16/2021 15:00:00,Not Hispanic or Latino,14285,612829,18156,252077
294,2/16/2021 15:00:00,Hispanic or Latino,493,25592,562,11711
295,2/16/2021 15:00:00,Unknown Ethnicity,1653,70323,1611,25639
296,2/17/2021 15:00:00,Not Hispanic or Latino,18001,630830,23558,275635
297,2/17/2021 15:00:00,Hispanic or Latino,701,26293,799,12510
298,2/17/2021 15:00:00,Unknown Ethnicity,1771,72094,1147,26786
299,2/18/2021 15:00:00,Unknown Ethnicity,605,72699,568,27354
300,2/18/2021 15:00:00,Hispanic or Latino,123,26416,98,12608
301,2/18/2021 15:00:00,Not Hispanic or Latino,2585,633415,3466,279101
302,2/19/2021 15:00:00,Unknown Ethnicity,1400,74099,1062,28416
303,2/19/2021 15:00:00,Hispanic or Latino,354,26770,723,13331
304,2/19/2021 15:00:00,Not Hispanic or Latino,8953,642368,16966,296067
305,2/20/2021 15:00:00,Hispanic or Latino,316,27086,652,13983
306,2/20/2021 15:00:00,Unknown Ethnicity,1063,75162,1012,29428
307,2/20/2021 15:00:00,Not Hispanic or Latino,8643,651011,17963,314030
308,2/21/2021 15:00:00,Not Hispanic or Latino,4956,655967,6194,320224
309,2/21/2021 15:00:00,Unknown Ethnicity,811,75973,751,30179
310,2/21/2021 15:00:00,Hispanic or Latino,257,27343,229,14212
311,2/22/2021 15:00:00,Not Hispanic or Latino,6812,662779,13344,333568
312,2/22/2021 15:00:00,Hispanic or Latino,260,27603,421,14633
313,2/22/2021 15:00:00,Unknown Ethnicity,984,76957,1005,31184
314,2/23/2021 15:00:00,Not Hispanic or Latino,13386,676165,13649,347217
315,2/23/2021 15:00:00,Hispanic or Latino,498,28101,505,15138
316,2/23/2021 15:00:00,Unknown Ethnicity,1517,78474,1018,32202
317,2/24/2021 15:00:00,Unknown Ethnicity,1496,79970,1449,33651
318,2/24/2021 15:00:00,Hispanic or Latino,574,28675,807,15945
319,2/24/2021 15:00:00,Not Hispanic or Latino,15653,691818,21814,369031
320,2/25/2021 15:00:00,Not Hispanic or Latino,17579,709397,22960,391991
321,2/25/2021 15:00:00,Hispanic or Latino,749,29424,833,16778
322,2/25/2021 15:00:00,Unknown Ethnicity,1537,81507,1969,35620
323,2/26/2021 15:00:00,Hispanic or Latino,1121,30545,807,17585
