OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
277,6/2/2020 15:00:00,age40to49,1,41,,4,,0,,45,,4
278,6/3/2020 15:00:00,age20to29,1,28,,3,,0,,31,,3
279,6/4/2020 15:00:00,age10to19,1,33,,2,,0,,35,,2
280,6/4/2020 15:00:00,age60to69,1,40,,4,,0,,44,,4
281,6/6/2020 15:00:00,age70to79,1,38,,6,,0,,44,,6
282,6/16/2020 15:00:00,age50to59,1,52,,4,,0,,56,,4
283,6/23/2020 15:00:00,age50to59,1,53,,4,,0,,57,,4
284,7/8/2020 15:00:00,age60to69,1,41,,4,,0,,45,,4
285,7/21/2020 15:00:00,age70to79,1,39,,6,,0,,45,,6
286,7/27/2020 15:00:00,age60to69,2,43,,4,,0,,47,,4
287,7/28/2020 15:00:00,age60to69,1,44,,4,,0,,48,,4
288,7/30/2020 15:00:00,age80plus,1,15,,1,,0,,16,,1
289,8/1/2020 15:00:00,age50to59,1,54,,4,,0,,58,,4
290,8/4/2020 15:00:00,age40to49,1,42,,4,,0,,46,,4
291,8/4/2020 15:00:00,age60to69,2,46,,4,,0,,50,,4
292,8/7/2020 15:00:00,age40to49,1,43,,4,,0,,47,,4
293,8/7/2020 15:00:00,age60to69,1,47,,4,,0,,51,,4
294,8/10/2020 15:00:00,age70to79,1,40,,6,,0,,46,,6
295,8/11/2020 15:00:00,age40to49,1,44,,4,,0,,48,,4
296,8/11/2020 15:00:00,age50to59,1,55,,4,,0,,59,,4
297,8/12/2020 15:00:00,age40to49,1,45,,4,,0,,49,,4
298,8/13/2020 15:00:00,age40to49,1,46,,4,,0,,50,,4
299,8/13/2020 15:00:00,age70to79,1,41,,6,,0,,47,,6
300,8/14/2020 15:00:00,age20to29,1,29,,3,,0,,32,,3
301,8/14/2020 15:00:00,age30to39,2,43,,6,,0,,49,,6
302,8/14/2020 15:00:00,age40to49,,46,1,5,,0,,51,,5
303,8/14/2020 15:00:00,age60to69,2,49,,4,,0,,53,,4
304,8/14/2020 15:00:00,age70to79,1,42,,6,,0,,48,,6
305,8/17/2020 15:00:00,age20to29,1,30,,3,,0,,33,,3
306,8/17/2020 15:00:00,age30to39,2,45,,6,,0,,51,,6
307,8/17/2020 15:00:00,age50to59,2,57,,4,,0,,61,,4
308,8/17/2020 15:00:00,age60to69,1,50,,4,,0,,54,,4
309,8/17/2020 15:00:00,age70to79,1,43,,6,,0,,49,,6
310,8/18/2020 15:00:00,age20to29,2,32,,3,,0,,35,,3
311,8/18/2020 15:00:00,age30to39,3,48,,6,,0,,54,,6
312,8/18/2020 15:00:00,age50to59,1,58,,4,,0,,62,,4
313,8/18/2020 15:00:00,age60to69,1,51,,4,,0,,55,,4
314,8/18/2020 15:00:00,age80plus,1,16,,1,,0,,17,,1
315,8/19/2020 15:00:00,age30to39,2,50,,6,,0,,56,,6
316,8/19/2020 15:00:00,age50to59,1,59,,4,,0,,63,,4
317,8/19/2020 15:00:00,age60to69,1,52,,4,,0,,56,,4
318,8/20/2020 15:00:00,age20to29,1,33,,3,,0,,36,,3
319,8/20/2020 15:00:00,age40to49,1,47,,5,,0,,52,,5
320,8/20/2020 15:00:00,age50to59,1,60,,4,,0,,64,,4
321,8/20/2020 15:00:00,age60to69,3,55,,4,,0,,59,,4
322,8/21/2020 15:00:00,age30to39,3,53,,6,,0,,59,,6
323,8/21/2020 15:00:00,age40to49,3,50,,5,,0,,55,,5
324,8/21/2020 15:00:00,age50to59,4,64,,4,,0,,68,,4
325,8/21/2020 15:00:00,age70to79,2,45,,6,,0,,51,,6
326,8/22/2020 15:00:00,age30to39,1,54,,6,,0,,60,,6
327,8/22/2020 15:00:00,age40to49,1,51,,5,,0,,56,,5
328,8/22/2020 15:00:00,age50to59,1,65,,4,,0,,69,,4
329,8/22/2020 15:00:00,age60to69,2,57,,4,,0,,61,,4
330,8/22/2020 15:00:00,age70to79,1,46,,6,,0,,52,,6
331,8/24/2020 15:00:00,age20to29,1,34,,3,,0,,37,,3
332,8/24/2020 15:00:00,age30to39,2,56,,6,,0,,62,,6
333,8/24/2020 15:00:00,age40to49,4,55,,5,,0,,60,,5
334,8/24/2020 15:00:00,age50to59,1,66,,4,,0,,70,,4
335,8/24/2020 15:00:00,age70to79,1,47,,6,,0,,53,,6
336,8/25/2020 15:00:00,age20to29,2,36,,3,,0,,39,,3
337,8/25/2020 15:00:00,age30to39,2,58,,6,,0,,64,,6
338,8/25/2020 15:00:00,age40to49,3,58,,5,,0,,63,,5
339,8/25/2020 15:00:00,age50to59,2,68,,4,,0,,72,,4
340,8/25/2020 15:00:00,age60to69,1,58,1,5,,0,,63,,5
341,8/26/2020 15:00:00,age20to29,2,38,,3,,0,,41,,3
342,8/26/2020 15:00:00,age30to39,1,59,,6,,0,,65,,6
343,8/26/2020 15:00:00,age40to49,3,61,,5,,0,,66,,5
344,8/26/2020 15:00:00,age50to59,1,69,,4,,0,,73,,4
345,8/26/2020 15:00:00,age60to69,1,59,,5,,0,,64,,5
346,8/26/2020 15:00:00,age70to79,1,48,,6,,0,,54,,6
347,8/27/2020 15:00:00,age30to39,2,61,,6,,0,,67,,6
348,8/27/2020 15:00:00,age40to49,3,64,,5,,0,,69,,5
349,8/27/2020 15:00:00,age50to59,3,72,,4,,0,,76,,4
350,8/27/2020 15:00:00,age60to69,2,61,1,6,,0,,67,,6
351,8/27/2020 15:00:00,age70to79,3,51,,6,,0,,57,,6
352,8/27/2020 15:00:00,age80plus,,16,1,2,,0,,18,,2
353,8/28/2020 15:00:00,age20to29,4,42,,3,,0,,45,,3
354,8/28/2020 15:00:00,age30to39,3,64,,6,,0,,70,,6
355,8/28/2020 15:00:00,age40to49,1,65,,5,,0,,70,,5
356,8/28/2020 15:00:00,age50to59,3,75,,4,,0,,79,,4
357,8/28/2020 15:00:00,age70to79,1,52,,6,,0,,58,,6
358,8/29/2020 15:00:00,age30to39,1,65,,6,,0,,71,,6
359,8/29/2020 15:00:00,age40to49,2,67,,5,,0,,72,,5
360,8/29/2020 15:00:00,age50to59,4,79,,4,,0,,83,,4
