OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
354,1/13/2021 15:00:00,age30to39,3335,39041,821,4708
355,1/13/2021 15:00:00,age40to49,3456,37841,764,4145
356,1/13/2021 15:00:00,age70to79,1344,11784,126,545
357,1/14/2021 15:00:00,age60to69,2731,33669,277,2948
358,1/14/2021 15:00:00,age70to79,1457,13241,72,617
359,1/14/2021 15:00:00,age30to39,3141,42182,469,5177
360,1/14/2021 15:00:00,age40to49,3245,41086,350,4495
361,1/14/2021 15:00:00,age50to59,3539,44909,356,4233
362,1/14/2021 15:00:00,age10to19,127,1233,1,37
363,1/14/2021 15:00:00,age80plus,846,10796,28,696
364,1/14/2021 15:00:00,age20to29,2144,27359,252,2656
365,1/15/2021 15:00:00,age10to19,121,1354,28,65
366,1/15/2021 15:00:00,age80plus,1318,12114,227,923
367,1/15/2021 15:00:00,age20to29,2355,29714,169,2825
368,1/15/2021 15:00:00,age50to59,3738,48647,408,4641
369,1/15/2021 15:00:00,age30to39,3329,45511,292,5469
370,1/15/2021 15:00:00,age70to79,1911,15152,87,704
371,1/15/2021 15:00:00,age40to49,3476,44562,285,4780
372,1/15/2021 15:00:00,age60to69,2574,36243,274,3222
373,1/16/2021 15:00:00,age60to69,621,36864,229,3451
374,1/16/2021 15:00:00,age40to49,867,45429,196,4976
375,1/16/2021 15:00:00,age50to59,820,49467,256,4897
376,1/16/2021 15:00:00,age80plus,822,12936,121,1044
377,1/16/2021 15:00:00,age30to39,858,46369,237,5706
378,1/16/2021 15:00:00,age10to19,25,1379,8,73
379,1/16/2021 15:00:00,age20to29,667,30381,125,2950
380,1/16/2021 15:00:00,age70to79,903,16055,127,831
381,1/17/2021 15:00:00,age50to59,368,49835,225,5122
382,1/17/2021 15:00:00,age30to39,310,46679,236,5942
383,1/17/2021 15:00:00,age80plus,252,13188,169,1213
384,1/17/2021 15:00:00,age20to29,252,30633,178,3128
385,1/17/2021 15:00:00,age70to79,223,16278,120,951
386,1/17/2021 15:00:00,age60to69,319,37183,192,3643
387,1/17/2021 15:00:00,age40to49,273,45702,197,5173
388,1/17/2021 15:00:00,age10to19,19,1398,3,76
389,1/18/2021 15:00:00,age20to29,464,31097,242,3370
390,1/18/2021 15:00:00,age60to69,894,38077,489,4132
391,1/18/2021 15:00:00,age40to49,873,46575,539,5712
392,1/18/2021 15:00:00,age70to79,1738,18016,215,1166
393,1/18/2021 15:00:00,age30to39,753,47432,459,6401
394,1/18/2021 15:00:00,age50to59,936,50771,614,5736
395,1/18/2021 15:00:00,age10to19,34,1432,3,79
